Id,SentenceA,SentenceB,Origin,Logic_label,Commonsense_label,SICK_original,monalog,gkr4nli,langpro,ccg2lambda_easyccg,ccg2lambda_candc
100,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,SICK,E,E,E,N,N,N,N,N
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,SICK,N,N,N,N,N,N,N,N
102,Four girls are doing backbends and playing in the garden,Four children are doing backbends in the park,SICK,N,N,N,N,N,N,N,N
103,Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,SICK,C,C,N,N,N,N,N,N
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,SICK,E,E,E,N,N,N,N,N
105,Four children are doing backbends in the gym,Four girls are doing backbends and playing outdoors,SICK,N,N,N,N,N,N,N,N
106,Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,SICK,N,N,N,N,N,N,N,N
107,A man who is playing is running with the ball in his hands,A player is running with the ball,SICK,E,E,E,N,N,N,N,E
108,A player is throwing the ball,A player is running with the ball,SICK,N,N,N,N,N,N,N,N
109,Two groups of people are playing football,Two teams are competing in a football match,SICK,E,E,E,N,N,N,N,N
110,Two teams are competing in a football match,Two teams are competing in a baseball game,SICK,N,N,N,N,N,N,N,N
111,Two teams are competing in a football match,Football is being played by two competing teams,SICK,E,E,E,N,N,N,N,N
112,Two groups of people are playing football,A player is running with the ball,SICK,N,N,N,N,N,N,N,N
113,Two teams are competing in a baseball game,A player is running with the ball,SICK,N,N,N,N,N,N,N,N
114,A player is running with the ball,Football is being played by two competing teams,SICK,N,N,N,N,N,N,N,N
115,Two teams are competing in a football match,A man who is playing is running with the ball in his hands,SICK,N,N,N,N,N,N,N,N
116,A player is throwing the ball,Two teams are competing in a football match,SICK,N,N,N,N,N,N,N,N
117,A player is running with the ball,Two teams are competing in a football match,SICK,N,N,N,N,N,N,N,N
118,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,SICK,E,E,E,N,N,N,N,N
119,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,SICK,C,C,N,N,E,N,N,N
120,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,SICK,N,N,N,N,C,N,N,N
121,Five kids are standing close together and one kid has a gun,Five kids are standing close together and one kid has a weapon,SICK,E,E,E,E,C,E,E,E
122,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,SICK,C,C,C,N,Exception,N,N,C
123,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a weapon,SICK,N,N,N,N,N,N,N,N
124,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,SICK,N,N,N,N,Exception,N,N,N
125,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,SICK,N,N,N,N,N,N,N,N
126,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,SICK,N,N,N,N,N,N,N,N
127,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,SICK,N,N,N,N,N,N,N,N
128,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,SICK,N,N,N,N,N,N,N,N
129,An old man is sitting in a field,A man is sitting in a field,SICK,E,E,E,E,E,E,E,E
130,A man is sitting in a field,A man is running in a field,SICK,N,N,N,N,N,N,N,N
131,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,SICK,N,N,N,N,N,N,N,N
132,A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,SICK,C,C,C,C,C,C,C,C
133,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,SICK,N,N,N,N,E,N,N,N
134,A person is sitting in a field and is wearing a hat,A man is sitting in a field,SICK,N,N,N,N,N,N,N,N
135,A man is sitting in a field,There is no person wearing a hat and sitting on the grass,SICK,N,N,N,N,N,N,N,N
136,A person is sitting and wearing a grass hat,A man is sitting in a field,SICK,N,N,N,N,N,N,N,N
137,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,SICK,N,N,N,N,N,N,N,N
138,A person is wearing a hat and is sitting on the grass,A man is running in a field,SICK,N,N,N,N,N,N,N,N
139,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,SICK,N,N,N,N,N,N,N,N
140,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,SICK,E,E,E,E,E,E,E,E
141,A group of friends are riding the current in a raft,A group is not riding the current in a raft,SICK,C,C,C,N,C,C,C,N
142,This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,SICK,E,E,E,N,E,E,N,N
143,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,SICK,C,C,C,N,N,C,C,N
144,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,SICK,N,N,N,N,N,N,N,N
145,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,SICK,N,N,N,N,C,N,N,N
146,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,SICK,N,N,N,N,N,N,N,N
147,A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,SICK,N,N,N,N,N,N,N,N
148,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,SICK,N,N,N,N,N,N,N,N
149,A deer is jumping over a fence,A deer is jumping over the enclosure,SICK,E,E,E,N,N,N,N,N
150,A deer is jumping over a fence,A deer isn't jumping over the fence,SICK,C,C,C,C,C,N,C,C
151,A wild deer is jumping a fence,A deer is jumping a fence,SICK,E,E,E,E,E,E,E,E
152,A deer is jumping a fence,There is no deer jumping fences,SICK,C,C,C,C,C,C,C,C
153,A wild deer is jumping a fence,A deer is jumping over a fence,SICK,E,E,E,N,E,N,N,N
154,There is no deer jumping fences,A deer is jumping over a fence,SICK,C,C,C,N,C,C,N,N
155,A deer is jumping over the enclosure,A deer is jumping a fence,SICK,N,N,N,N,N,N,N,N
156,A deer is jumping a fence,A deer isn't jumping over the fence,SICK,C,C,C,N,C,N,N,N
157,A deer is jumping over a fence,A deer is jumping a fence,SICK,UG,UG,E,N,E,E,N,N
158,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,SICK,E,E,E,N,E,E,E,N
159,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,SICK,C,C,N,N,E,N,N,N
160,Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,SICK,E,E,E,N,N,N,N,N
161,Several people are in front of a colorful building,Nobody is in front of the colorful building,SICK,C,C,C,N,N,C,C,C
162,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,SICK,N,N,E,N,N,N,N,N
163,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,SICK,C,C,N,N,C,Exception,Exception,N
164,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,SICK,E,E,E,N,N,N,N,N
165,Several people are in front of a colorful building,People are walking inside a building that has many murals on it,SICK,N,N,N,N,N,N,N,N
166,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,SICK,N,N,N,N,N,N,N,N
167,A boy is hitting a baseball,A child is hitting a baseball,SICK,E,E,E,E,N,E,E,E
168,A child is hitting a baseball,A child is missing a baseball,SICK,C,C,C,C,C,N,N,N
169,A family is watching a little boy who is hitting a baseball,A family is watching a boy who is hitting a baseball,SICK,E,E,E,E,E,E,E,E
170,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,SICK,C,C,N,C,C,N,N,N
171,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,SICK,C,C,N,N,C,N,N,N
172,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,SICK,E,E,E,N,N,E,E,E
173,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,SICK,C,C,N,N,E,N,N,N
174,A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,SICK,N,N,N,N,N,N,N,N
175,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,SICK,E,E,E,N,E,E,E,E
176,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,SICK,C,C,N,N,E,N,N,N
177,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,SICK,E,E,E,N,N,E,E,E
178,A large group of Asian people is eating at a restaurant,A group of people from Asia is eating at a restaurant,SICK,E,E,E,N,E,N,N,N
179,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,SICK,N,N,N,N,N,N,N,N
180,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,SICK,N,N,N,N,E,N,N,N
181,Various people are eating at red tables in a crowded restaurant with purple lights,Various customers are eating in a crowded restaurant with purple lights,SICK,E,E,E,N,N,N,N,N
182,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,SICK,C,C,N,N,N,Exception,Exception,N
183,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,SICK,N,N,N,N,N,N,N,N
184,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,SICK,N,N,N,N,N,N,N,N
185,Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,SICK,C,C,N,N,N,Exception,Exception,N
186,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,SICK,N,N,N,N,N,N,N,N
187,A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,SICK,N,N,N,N,N,N,N,N
188,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,SICK,N,N,N,N,N,N,N,N
189,A group of people in a large Asian restaurant is eating,Various people are eating at red tables in a crowded restaurant with purple lights,SICK,N,N,N,N,N,N,N,N
190,A large group of Asian people is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,SICK,N,N,N,N,N,N,N,N
191,A motorcycle rider is standing up on the seat of a white motorcycle,A motorcycle is riding standing up on the seat of the vehicle,SICK,NS,NS,E,N,N,C,N,N
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,SICK,C,C,C,C,C,C,C,C
193,Someone is on a black and white motorcycle and is standing on the seat,A rider is on a black and white bike and is standing on the seat,SICK,E,E,E,N,N,N,N,N
194,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,SICK,C,C,C,N,Exception,C,C,C
195,A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,SICK,C,E,N,N,E,N,N,N
196,Nobody is on a motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,SICK,C,C,C,N,N,C,C,N
197,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle,SICK,N,N,N,N,N,N,N,N
198,Someone is on a black and white motorcycle and is standing on the seat,No motorcycle rider is standing up on the seat of a motorcycle,SICK,C,C,C,N,N,N,N,N
199,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,SICK,N,N,N,N,N,N,N,N
200,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,SICK,E,E,E,N,E,E,E,E
201,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,SICK,C,C,C,C,C,C,C,C
202,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,SICK,E,E,E,N,N,N,N,N
203,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,SICK,N,N,N,N,N,N,N,N
204,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,SICK,E,E,E,N,N,N,N,N
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,SICK,N,N,N,N,N,N,N,N
206,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,SICK,N,N,N,N,N,N,N,N
207,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,SICK,C,C,C,N,N,N,N,N
208,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,SICK,E,E,E,N,N,N,N,N
209,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,SICK,N,E,E,N,N,N,N,N
210,There is no dog leaping in the air,A dog is leaping high in the air and another is watching,SICK,C,C,C,N,C,N,C,C
211,Two dogs are playing by a tree,Two dogs are playing by a plant,SICK,E,E,E,N,N,E,E,E
212,Two dogs are playing by a tree,Two dogs are sleeping by a tree,SICK,N,N,N,N,N,N,N,N
213,A dog is leaping high in the air and another is watching,Two dogs are playing by a plant,SICK,N,N,N,N,N,N,N,N
214,A dog is leaping high in the air and another is watching,Two dogs are sleeping by a tree,SICK,N,N,N,N,N,N,N,N
215,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,SICK,N,N,N,N,N,N,N,N
216,Two dogs are playing by a tree,There is no dog leaping in the air,SICK,N,N,N,N,N,N,N,N
217,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,SICK,N,N,N,N,N,N,N,N
218,A girl in white is dancing,A girl is wearing white clothes and is dancing,SICK,E,E,E,N,N,N,N,E
219,There is no girl in white dancing,A girl in white is dancing,SICK,C,C,C,C,C,N,N,N
220,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,SICK,N,N,N,N,N,N,N,N
221,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,SICK,C,C,N,N,E,N,N,N
222,The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,SICK,NS,NS,E,N,E,N,N,N
223,A girl in white is dancing,The dancer is dancing in front of the sound equipment,SICK,N,N,N,N,N,N,N,N
224,A girl in white is dancing,The blond girl is dancing behind the sound equipment,SICK,N,N,N,N,N,N,N,N
225,The equipment in front of the blond dancing girl is sound,A girl in white is dancing,SICK,N,N,N,N,N,N,N,N
226,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,SICK,N,N,N,N,N,N,N,N
227,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,SICK,N,N,N,N,N,N,N,N
228,A girl in white is dancing,The blond girl is dancing in front of the sound equipment,SICK,N,N,N,N,N,N,N,N
229,The children of a family are patiently playing and waiting,The children of a family are playing and waiting,SICK,E,E,E,E,E,E,E,E
230,The children of a family are playing and waiting,There are no children playing and waiting,SICK,C,C,C,N,C,C,N,C
231,Three Asian kids are dancing and a serious man is looking,Three Asian kids are dancing and a man is looking,SICK,E,E,E,E,E,E,E,E
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,SICK,C,C,C,N,C,C,C,C
233,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,SICK,C,C,N,N,E,N,N,N
234,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,SICK,N,N,N,N,N,N,N,N
235,The children of a family are playing and waiting,Three Asian kids are dancing and there is no man looking,SICK,N,N,N,N,N,N,N,N
236,The children of a family are playing and waiting,An Asian man is dancing and three kids are looking,SICK,N,N,N,N,N,N,N,N
237,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,SICK,N,N,N,N,N,N,N,N
238,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,SICK,N,N,N,N,C,N,N,N
239,Three Asian kids are dancing and a man is looking,The children of a family are playing and waiting,SICK,N,N,N,N,N,N,N,N
240,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,SICK,E,E,E,E,E,E,E,E
241,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,SICK,N,N,N,N,N,N,N,N
242,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,SICK,N,N,N,N,N,N,N,N
243,The woman is wearing glasses and a black headdress,The woman with a black hat is wearing sunglasses,SICK,N,N,N,N,N,N,N,N
244,The woman is not wearing glasses or a headdress,The woman is wearing glasses and a black headdress,SICK,C,C,C,N,C,C,C,C
